orderItemId,orderId,productId,quantity,unitPrice,lineAmount,currency,holaMundo,op,eventTime,seqNum
7c478b11-8479-4bed-b950-9ab8fc78964b,7157dddb-580f-433a-9a5a-412cc92f7454,10e548fe-e465-410f-a3fd-f863e7660648,2,752.06,716.25,EUR,valor_inutil,U,2025-11-08 08:38:31,2
6e68c579-18b1-41aa-9609-0dc77f15c2fc,44e1788f-6528-43dd-9bbe-b0192d0ecf61,37fe168b-b8dc-4071-8acd-9d0a96729f54,5,626.05,1882.86,EUR,valor_inutil,U,2025-11-08 10:35:47,3
32d10f84-2fca-4ae2-824f-bdbc7637e866,7248e721-e4c6-4625-ac59-e90ee2f66678,8ca64ab1-f9bf-4b46-b97e-4873da1dc9e0,2,577.57,1155.14,EUR,valor_inutil,U,2025-11-08 08:26:17,2
204b258c-b90e-4741-a086-2e55a7488dca,5fc6e603-03b5-4c70-b5b8-d8a10fcee3e6,d4e1bc2c-f456-4bd8-8a2e-edd0f24b8855,4,266.98,762.81,eur,valor_inutil,U,2025-11-08 23:23:54,2
93077c9a-6195-41de-b6e2-d8ac7d8ebe0d,7a1dac6a-12c7-45e0-b3b6-dfecd1706047,2ba882a5-0e96-4cd4-afb7-a5acb703f881,2,613.54,584.32,eur,valor_inutil,U,2025-11-08 18:53:49,2
13aaf387-5139-4b89-81fb-9588af7d97d5,436e5563-2416-4ab8-a596-3d08e695a896,c659f73f-3a41-40ae-bbb3-a0c14c501064,2,381.2,1203.78,EUR,valor_inutil,U,2025-11-08 16:31:54,2
0336af3f-2ea0-4989-af85-294e8066cf3e,d5b74ce3-1e01-4e55-9044-0ee557813793,c266e753-0617-484f-a7cf-c0726ab62251,2,626.57,1193.46,EUR,valor_inutil,U,2025-11-08 19:58:38,2
89ef6e9f-83db-408f-97c9-127c003a847b,c950c214-a49f-4976-b986-a3cd022de7a4,10e548fe-e465-410f-a3fd-f863e7660648,3,752.06,2865.0,EUR,valor_inutil,U,2025-11-08 09:42:20,2
5b660e18-44e8-4de1-a8d4-6891f4dd39c2,b975b2bf-4ca4-4c2e-995b-f9ab19605cd4,75832e12-1ee1-41f5-be18-b8460ca8db8d,4,81.31,342.36,EUR,  valor_inutil,U,2025-11-08 03:40:26,2
d295dde0-bdd6-4d14-9adb-c2f63dbef451,872925b7-cef2-4ba1-a7f7-261afe8bec0b,cc20860a-6353-4686-bf8e-bb6b179d0662,1,39.16,39.16,eur,valor_inutil,U,2025-11-08 14:57:21,2
