paymentId,orderId,paymentMethod,amount,paymentDate,status,op,eventTime,seqNum
db1c240f-c1c1-4ca8-be46-c412826adf25,986d5030-6928-441f-91df-752cd5b21bef,BIZUM,51.12,2025-11-04 03:48:40,OK,I,2025-11-06 06:07:45,1
5ec85cae-f008-428a-8f0d-768be18f9ce4,d4b55314-de9d-4144-b518-f279e378d85b,Bizum,1236.59,2025-10-28 20:32:47,ok,I,2025-11-06 09:16:21,1
7684d12d-1f98-4e69-bf5d-0abe5f27d75d,046ea382-26e3-485f-b142-e94f92a49c7a,Bizum,551.01,2025-10-28 21:10:38,OK,I,2025-11-06 03:29:50,1
a47678b3-2bbb-4d60-ae40-33ff642f02fe,64e168ec-de0d-4469-8284-e4cff01878c2,CARD,411.91,2025-11-08 18:56:57,PENDING,I,2025-11-06 16:33:41,1
28f654ea-3de7-4399-8419-4deffe6fc749,656982cc-0395-4fa6-b5f7-de327a21b52f,Bizum,1094.05,2025-11-05 22:10:24,OK,I,2025-11-06 18:08:42,1
4212a255-737e-4221-9379-6423d42f3ae5,09ad0c56-e939-482f-a362-21bc1a82868d,PayPal,1427.36,2025-10-31 14:45:00,FAILED,I,2025-11-06 17:00:23,1
ebcb501c-4e08-4bff-a3a5-cfb606d51dd8,b5645358-fb69-4505-9760-b9487683bd0c,PayPal,607.29,2025-11-08 02:14:34,OK,I,2025-11-06 00:28:57,1
60351fc0-20f1-469a-8535-c495367a6a29,a90c1856-f325-4b31-b8c3-fc26d24874de,CASH,305.72,2025-11-05 19:39:55,OK,I,2025-11-06 02:42:20,1
759104e3-8a93-479e-a8b7-c8b08e7db083,994b76e2-073d-4a05-b2b8-74380bfc06f0,card,857.36,2025-11-07 21:04:11,OK,I,2025-11-06 18:17:58,1
e9f43dbd-bbb2-4cc3-a879-4735ba722016,583d282f-3b22-4287-969b-7efd32b6c61b,card,435.33,2025-10-30 14:27:09,FAILED,I,2025-11-06 19:47:27,1
36ec50dc-667d-43be-98dc-acef3d4274d6,0720c764-1aad-4315-ae77-1af82bb31e05,Bizum,548.45,2025-10-27 20:11:44,OK,I,2025-11-06 10:25:57,1
c9079777-ea1f-4130-bf19-10430a45ae33,2e86035d-0b0c-463c-8b65-cfe6185610ac,CARD,1263.63,2025-10-27 19:35:16,OK,I,2025-11-06 11:30:13,1
e8e483c8-f890-4520-9b76-6d8575f94d9e,42721ea7-4a03-499b-8136-5abff27ad204,card,644.94,2025-10-28 02:05:27,FAILED,I,2025-11-06 00:12:14,1
09e65ce9-d50b-4392-9980-825124fee720,eed3891b-fc9e-4a0b-885b-3b26c1f3c167,Bizum,275.05,2025-10-25 10:43:21,PENDING,I,2025-11-06 05:11:12,1
da26b7e8-661b-45a9-b51d-60ea2863af14,58f6da7b-057d-4d79-88f9-92193e5c69d9,CARD,722.6,2025-10-24 02:21:09,OK,I,2025-11-06 13:49:13,1
61ef735a-86a2-477d-beb7-2272e4aed918,7c72021b-a53b-47fd-b563-3418725cb509,Bizum,328.76,2025-11-02 04:36:28,PENDING,I,2025-11-06 10:02:29,1
15412435-9ad6-4504-a147-2a52d7908829,610d7aa3-b03b-47c2-8bc6-2855fda33b6b,CASH,817.72,2025-11-03 06:52:17,OK,I,2025-11-06 17:09:50,1
83fbf05c-ab82-42bd-bc48-def81443983f,5d81816b-8654-4617-b8a1-49f98619f187,Bizum,1030.76,2025-10-30 01:12:24,OK,I,2025-11-06 21:00:18,1
5e85f5eb-946a-4c8c-9321-b682e790f1a5,1e2d782b-39e6-46d7-97ac-80c9b5767df6,PayPal,369.79,2025-10-31 20:21:23,OK,I,2025-11-06 06:37:07,1
86d7bb4b-23a4-438b-993b-642db9ab6f55,c65296e8-16d0-48fe-a9ea-c52c1228b092,CARD,65.17,2025-11-06 08:10:33,OK,I,2025-11-06 21:36:21,1
8559f1ba-2806-48e0-8c12-7ed43f7926e6,2347ec0c-d36f-45ed-892a-81428f7585df,CARD,933.25,2025-10-29 09:19:22,FAILED,I,2025-11-06 05:20:55,1
1eff1eb1-d942-4829-8bec-1ad853380f56,4017906c-8bca-4d82-b9bc-60add9ec160f,card,1425.32,2025-11-08 09:46:30,OK,I,2025-11-06 22:45:02,1
dc04065a-5ee7-4cc0-a74c-1b6eceabe257,f5be2e01-7333-4266-8715-a346b3bf2285,CARD,1320.98,2025-11-11 09:14:40,OK,I,2025-11-06 02:50:57,1
5b56104b-47be-40ee-b841-6d58bc1b3f4c,f38037f1-af07-4e29-8d03-de4a067d88b1,CASH,172.92,2025-10-28 18:34:16,OK,I,2025-11-06 04:12:42,1
c8d8bb0d-aee1-4730-af4b-88e5085207ad,d93ae963-ef95-479e-9a6c-1315ae0b07bd,CARD,846.24,2025-11-02 23:17:17,OK,I,2025-11-06 17:56:18,1
ffd94147-3098-4fc1-8c1a-1abc3c7de6b2,e8adae6c-6393-4347-a09b-991d76dedad8,PayPal,560.12,2025-11-01 01:12:33,ok,I,2025-11-06 03:15:00,1
7686b892-9952-42b3-b2b1-aad948def137,bc49d0b7-6710-4e23-be63-3ee5af7c0783,CARD,50.14,2025-11-05 08:13:06,OK,I,2025-11-06 18:53:34,1
bace7840-43f4-42d4-a2da-e08ce5a064d2,eaed687b-c18f-4c98-841f-014338b67315,CASH,447.81,2025-11-02 02:49:59,ok,I,2025-11-06 03:37:24,1
6feedf90-7e1b-49f2-9a6b-9ccc985e8bdb,d5e22057-5131-48e3-a23f-09d3df569e96,CASH,806.86,2025-11-08 01:54:14,OK,I,2025-11-06 18:22:19,1
ce1a7a5a-12ae-4209-a436-0f2846a4c457,84fd0832-a2fa-4875-ba9e-c66893aad10a,BIZUM,957.55,2025-11-06 20:04:37,OK,I,2025-11-06 13:02:23,1
8bc0cce4-2365-4b5b-8029-794982c8e81f,90839eea-1d81-4958-8ed9-c250f6958968,card,1365.53,2025-11-08 15:43:13,FAILED,I,2025-11-06 04:59:17,1
638dca1a-8f2f-47f6-884b-78cb1f432ec1,b24f3ee9-3b29-4bc3-bea5-ba7cccb41de4,BIZUM,33.58,2025-11-06 23:27:58,ok,I,2025-11-06 14:24:05,1
d867e8f4-6291-407b-8f57-a41b9a68ae92,bb04bdb5-7ac1-4a4a-9af2-c2772c389066,BIZUM,245.15,2025-10-30 10:49:25,OK,I,2025-11-05 22:10:11,1
1663dcb3-8148-461c-9289-55cc9c6ed204,b4aa9047-8e3f-4657-bdad-c31cfb7173d2,BIZUM,593.51,2025-10-30 02:17:14,FAILED,I,2025-11-06 01:31:36,1
1082a708-5b02-453d-b4db-51a84af63ecc,6ca50e9b-3fb6-442b-a095-33e67c9637fd,Bizum,1036.06,2025-11-02 03:31:26,ok,I,2025-11-06 10:24:45,1
85a69e4b-0d2f-4a00-8877-66ba327e4060,d0887d9f-0ec0-4304-9c8a-55874434b0ce,Bizum,722.95,2025-10-25 06:45:18,OK,I,2025-11-06 16:15:48,1
808f965f-e2b6-41dc-aa05-dde1bea82352,0f17b116-d093-40eb-a818-e5a8082bf6a8,PayPal,1442.44,2025-11-10 14:05:24,OK,I,2025-11-06 13:15:03,1
87dd630e-1462-4cf5-bf98-0aed615dc905,2d84e8b5-f628-4d80-9a8d-d4ca02529aca,BIZUM,1067.58,2025-10-26 12:32:26,OK,I,2025-11-06 15:52:40,1
1ea7b0d6-93ad-4a5d-93c9-b7e6a6790aed,1dcdc74e-eb76-477a-ba66-109bfb6400df,card,1459.07,2025-10-31 15:31:42,OK,I,2025-11-06 02:57:13,1
4730db8b-5bb6-4da1-9c14-8e58db6f2248,93d37b0b-ca2a-4ccf-8dfd-27bdbd7789e2,PayPal,1159.36,2025-10-25 13:27:06,OK,I,2025-11-06 17:54:44,1
2fdcde4a-0970-4204-a3af-fc8500ea2d22,6b3efee9-56b6-4e93-bfb7-5ee210be34cf,card,519.74,2025-11-09 02:50:31,OK,I,2025-11-06 17:00:38,1
cd056005-c865-414f-8ef9-3a2cce824809,6aa06a51-8e09-4dbb-9744-f0a848ce68e3,CARD,1080.14,2025-10-24 20:21:39,ok,I,2025-11-06 03:14:18,1
97bb1620-dd72-447e-aa28-3fc3cfd76397,65973136-6a6d-40c7-9992-cf5572cffddf,Bizum,870.56,2025-11-11 23:34:32,OK,I,2025-11-06 15:45:25,1
56b33175-fe81-4d72-bff8-1ae29b0a34c8,765e41cc-23ea-4362-9db6-58dfb4ea1cef,Bizum,242.13,2025-11-04 23:49:50,OK,I,2025-11-06 20:59:54,1
7b279265-129e-459b-9690-3ad618ede6ca,f5d4e5f0-b6f1-430d-920d-97f52332e6a0,CARD,885.86,2025-10-27 05:28:31,OK,I,2025-11-06 05:37:04,1
c32ce7e5-aa30-49d4-bf55-39030ffae31a,192743a5-ce01-48a5-be88-659c9dc8629d,CASH,456.12,2025-11-07 04:43:34,OK,I,2025-11-06 00:21:12,1
a0a46bc1-2188-4c54-897a-9313b78e14fa,4f692c7f-8874-473f-ab0f-a96634006f88,CASH,870.66,2025-11-04 07:26:26,OK,I,2025-11-06 12:33:31,1
192f2a08-6b82-41d3-b4d7-2d2a640bbaa2,05645d52-8e2f-41a4-afef-412cc3808790,PayPal,1284.25,2025-11-10 13:31:29,PENDING,I,2025-11-06 17:34:36,1
c61d6a27-4ca6-4058-ace8-37aae0bdb780,b1f7571d-53fb-4fc7-8864-5bac263fb585,CASH,142.78,2025-11-02 17:10:31,OK,I,2025-11-06 13:16:05,1
57ee48fa-aa18-47fa-a056-94cf5588fd90,42e5019a-5ddb-45df-a438-66b3a4b83c1f,PayPal,1146.3,2025-11-02 15:43:52,OK,I,2025-11-06 07:32:47,1
33f316fc-7d20-456f-97b8-acfc3f2a7a3a,fc90e9de-5806-46f1-b21d-350e8a594375,PayPal,989.6,2025-11-08 13:41:23,OK,I,2025-11-06 05:35:26,1
08e2d125-a405-4f63-bc01-36a55594a050,884b0858-02f6-4d92-8c25-231a059b5de0,Bizum,719.93,2025-10-26 09:32:36,OK,I,2025-11-06 16:58:14,1
7c9a2490-8b67-4a92-aa0f-61586fe88b41,54d86844-fd61-41f4-a18d-08e8b153e386,PayPal,1462.93,2025-11-05 17:26:37,OK,I,2025-11-06 17:34:29,1
16ec343f-bb54-4ef1-a895-73ab370763f0,01ad5fc0-582d-46da-8499-fce72ea0d00c,card,953.73,2025-11-03 18:38:05,OK,I,2025-11-06 10:26:08,1
16ebc4f7-892c-46c9-a186-f4f37e6a9435,b4368e58-8609-4e67-bae6-5fff33ff60e3,card,331.37,2025-11-02 21:40:11,OK,I,2025-11-06 04:36:28,1
38c9073b-19bf-4900-a2ad-b682e5f7056c,f92d34cb-c755-4669-a2ba-1b4127e49fbe,CASH,601.61,2025-11-09 17:26:10,OK,I,2025-11-06 04:52:36,1
72384279-f56a-46ed-b950-09602bf82ce6,99b84d1f-7a65-4a89-a727-740037583fd6,card,1069.02,2025-11-01 23:51:56,PENDING,I,2025-11-06 01:16:08,1
6b055b65-29ca-4dcf-a65a-6df4873ad652,ab80b3e9-5e72-4df0-9f4e-f60e45a1a6b4,CASH,487.75,2025-11-04 21:01:42,OK,I,2025-11-06 14:04:39,1
5e453342-4452-47c4-9832-6f4ec9d247bb,a428d763-2fe9-4e4e-afd8-bceb98956f47,card,722.02,2025-11-11 01:42:43,FAILED,I,2025-11-06 20:20:24,1
44be821d-60ec-4c75-b6ef-427224363cda,3a9d2a01-60fd-4e72-8ca9-cff1026e6c3d,Bizum,653.6,2025-10-27 16:16:41,OK,I,2025-11-06 16:30:54,1
6a217ef6-e842-481a-a1cb-37748afe635e,6c8ce04d-92e4-45c8-b046-52e738b86fdd,CASH,931.73,2025-10-30 21:23:13,ok,I,2025-11-06 20:09:42,1
dace53b3-c707-4eb3-84af-cf8ec84209d5,7e51922f-be2e-451b-92e7-5c0db545b5f8,PayPal,636.59,2025-10-30 20:42:10,PENDING,I,2025-11-06 18:51:10,1
2301ce0f-ab2a-45ee-942f-1829122d618a,,CARD,159.14,2025-11-08 20:49:08,OK,I,2025-11-06 19:06:51,1
82039c14-6dd2-4f0a-bf9d-165d01a31b2e,ffb0e599-e5af-49f1-9178-5c263c099fc1,CARD,345.95,2025-11-01 08:01:30,FAILED,I,2025-11-06 06:51:27,1
c2dc20c4-0cc9-455b-8cca-1301eb97cdb1,,BIZUM,1386.82,2025-11-03 20:07:18,ok,I,2025-11-06 19:40:25,1
d39593c4-96e9-4fc9-86eb-09bc1e997dc5,3acfcfa1-1269-4bef-b740-347cee113691,card,34.07,2025-11-08 21:29:19,OK,I,2025-11-06 14:23:38,1
7c356c2f-29d0-49dd-b1e1-11e0324894c6,15d8ebfd-7631-49de-9fb0-367c572d31ff,CARD,997.45,2025-11-10 23:19:02,OK,I,2025-11-06 20:51:02,1
