orderItemId,orderId,productId,quantity,unitPrice,lineAmount,currency,holaMundo,op,eventTime,seqNum
6bef34c5-033c-4a28-a8fc-e9533dbae44b,986d5030-6928-441f-91df-752cd5b21bef,5031ef21-8905-4b85-9db4-388d001d9d14,4,393.46,1573.84,USD,valor_inutil,I,2025-11-06 22:21:32,1
9b00fd77-8c87-4f12-8614-b23ef6644c8c,d4b55314-de9d-4144-b518-f279e378d85b,11877242-43e5-4f56-b63e-9f3292f15d27,5,58.07,290.35,EUR,valor_inutil,I,2025-11-06 08:52:18,1
149a964e-0f80-4d83-95ce-06ebe82b2d01,d4b55314-de9d-4144-b518-f279e378d85b,c7abb66d-d16b-495d-83db-6dba174c5e6e,3,258.29,774.87,EUR,valor_inutil,I,2025-11-06 08:11:49,1
6158a9bc-ddb4-48c7-a169-c9a080b2899b,d4b55314-de9d-4144-b518-f279e378d85b,f2c5c998-11b7-427f-ba51-d5aa218982cc,3,511.53,1534.59,EUR,valor_inutil,I,2025-11-06 18:00:06,1
aba73695-8e88-4510-8e27-b5b000a4ec68,046ea382-26e3-485f-b142-e94f92a49c7a,57b1f6f3-5b3e-4f33-ad2c-f981a28e3866,5,31.99,159.95,USD,valor_inutil,I,2025-11-06 00:32:50,1
84259599-5cfb-42f7-b4ed-715b9694c15f,046ea382-26e3-485f-b142-e94f92a49c7a,,3,580.5,1741.5,USD,valor_inutil,I,2025-11-06 21:12:06,1
2f361391-a639-4b2a-b142-ac9a2f1160e9,046ea382-26e3-485f-b142-e94f92a49c7a,d33c9076-36f4-43fe-b87c-980261bf6af8,2,561.64,1123.28,EUR,valor_inutil,I,2025-11-06 05:13:41,1
e620f639-e726-4652-ad7f-a94e46541cae,046ea382-26e3-485f-b142-e94f92a49c7a,e35eefa1-9cce-4fd8-b393-d4f9d0352748,1,344.55,344.55,EUR,valor_inutil,I,2025-11-06 07:36:33,1
e747bf6c-47a7-4139-bfc9-ca678f3eb13b,046ea382-26e3-485f-b142-e94f92a49c7a,a0d61ce5-658d-4a43-b9f5-09600d711522,2,92.59,185.18,EUR,valor_inutil,I,2025-11-06 05:21:29,1
e67ee546-d4ed-4ad6-b1f8-4b7195a59f59,64e168ec-de0d-4469-8284-e4cff01878c2,f78e4649-3bd4-42c1-a8d2-78ec70659769,4,129.1,516.4,EUR,valor_inutil,I,2025-11-06 18:15:36,1
e7ba589a-3f0d-4eb8-b834-24ce0da4bf20,64e168ec-de0d-4469-8284-e4cff01878c2,dca925cb-fd2a-45bd-82a2-076a55b17f62,2,126.42,252.84,EUR,  valor_inutil ,I,2025-11-06 20:18:26,1
a1689a0e-a8c2-4d99-943e-c988555f37f2,64e168ec-de0d-4469-8284-e4cff01878c2,fba39123-9797-4d19-9564-b15cfeec80d6,4,658.96,2635.84,eur,  valor_inutil,I,2025-11-06 03:16:50,1
10270792-38b7-4b23-b04f-de04e9c7a2f4,656982cc-0395-4fa6-b5f7-de327a21b52f,efa15297-0f26-47f1-8d14-0a8820e542fe,5,410.81,2054.05,EUR,valor_inutil ,I,2025-11-06 00:11:58,1
c81990d1-eef6-4d18-9274-aebdec6a4080,656982cc-0395-4fa6-b5f7-de327a21b52f,5482146c-ded1-47f5-9a71-d89bfc307879,5,567.36,2836.8,EUR,valor_inutil,I,2025-11-06 05:47:28,1
933d364a-1ac3-4f9d-8ee3-a079c2ed4d78,656982cc-0395-4fa6-b5f7-de327a21b52f,c5ae03f1-b4e2-4ac6-ba61-07932ae4e568,1,746.56,746.56,eur,valor_inutil ,I,2025-11-06 08:51:53,1
4f3fd6b9-ac43-440f-9343-f5f541c0c164,656982cc-0395-4fa6-b5f7-de327a21b52f,9422437d-ffcb-4d32-aa93-1606e204f578,3,211.13,633.39,EUR,valor_inutil,I,2025-11-06 06:58:21,1
3b637cd0-d147-429d-bc45-c8b9e55236a5,09ad0c56-e939-482f-a362-21bc1a82868d,663c925a-4754-4a4f-9141-2bbc9f9e6b73,4,648.85,2595.4,USD,valor_inutil,I,2025-11-06 06:41:53,1
37cfe071-950c-4fe3-9793-7cf6c8b08d3a,09ad0c56-e939-482f-a362-21bc1a82868d,8b6844d5-fe0b-490f-ae78-089d6a3ebdbf,4,125.77,503.08,EUR,valor_inutil,I,2025-11-06 15:24:23,1
a8adef2e-727d-4006-824a-09884bba5a8f,09ad0c56-e939-482f-a362-21bc1a82868d,b6c63c65-e629-4590-ab8e-5ee8949cb610,1,791.75,791.75,EUR,  valor_inutil  ,I,2025-11-05 21:17:55,1
cbe653a7-77d4-4ff8-8595-60b20e97d8ef,b5645358-fb69-4505-9760-b9487683bd0c,c74d0589-b582-4319-8d82-788c859efa05,4,660.1,2640.4,eur,valor_inutil,I,2025-11-06 21:09:17,1
